name,commonName_new,scientificName_new,status_new,listUpdate,commonName_old,scientificName_old,status_old
Pomaderris gilmourii var. gilmourii,,Pomaderris gilmourii var. gilmourii,Endangered,added,,,
Prasophyllum littorale,Coastal Leek Orchid,Prasophyllum litorale,Critically Endangered,added,,,
Psophodes nigrogularis lashmari,White-bellied Whipbird (ki),Psophodes (Phodopses) leucogaster lashmari,Endangered,added,,,
Pultenaea sp. Genowlan Point (NSW 417813),Genowlan Pultenaea,Pultenaea sp. Genowlan Point (NSW 417813),Critically Endangered,added,,,
Stagonopleura bella samueli,,Stagonopleura (Zonaeginthus) bella samueli,Endangered,added,,,
Tylophora linearis,,Tylophora linearis,Endangered,added,,,
Tylophora rupicola,,Tylophora rupicola,Endangered,added,,,
Tylophora woollsii,Cryptic Forest Twiner,Tylophora woollsii,Endangered,added,,,
Acanthiza pusilla magnirostris,,,,removed,,Acanthiza (Acanthiza) pusilla magnirostris,Endangered
Angianthus phyllocalymmeus,,,,removed,Silver Candles,Angianthus phyllocalymmeus,Vulnerable
Anstisia alba,,,,removed,,MYOBATRACHIDAE,Critically Endangered
Anstisia vitellina,,,,removed,,MYOBATRACHIDAE,Vulnerable
Epacris gnidioides,,,,removed,Budawangs Cliff-heath,Epacris gnidioides,Vulnerable
Hibbertia barrettiae,,,,removed,,Hibbertia barrettiae,Critically Endangered
Hiya distans,,,,removed,,Hiya distans,Endangered
Hylacola cauta halmaturina,,,,removed,Shy Heathwren (kangaroo Island),Hylacola cauta halmaturinus,Vulnerable
Hylacola pyrrhopygia parkeri,,,,removed,Chestnut-rumped Heathwren (mount Lofty Ranges),Hylacola pyrrhopygia parkeri,Endangered
Hymenasplenium wildii,,,,removed,,Hymenasplenium wildii,Vulnerable
Leichhardtia araujacea,,,,removed,,Leichhardtia araujacea,Extinct
Leichhardtia brevifolia,,,,removed,,Leichhardtia brevifolia,Vulnerable
Leichhardtia longiloba,,,,removed,,Leichhardtia longiloba,Vulnerable
Leichhardtia paludicola,,,,removed,,Leichhardtia paludicola,Vulnerable
Perameles bougainville,,,,removed,Shark Bay Bandicoot,Perameles bougainville,Endangered
Perameles fasciata,,,,removed,Liverpool Plains Striped Bandicoot,Perameles fasciata,Extinct
Perameles myosuros,,,,removed,Marl,Perameles myosuros,Extinct
Phalaenopsis rosenstromii,,,,removed,Native Moth Orchid,Phalaenopsis rosenstromii,Endangered
Pseudodiphasium  volubile,,,,removed,,Pseudodiphasium volubile,Extinct
Psophodes leucogaster lashmari,,,,removed,White-bellied Whipbird (ki),Psophodes (Phodopses) leucogaster lashmari,Endangered
Ptisana salicina,,,,removed,King Fern,Ptisana salicina,Endangered
Pultenaea praecipua  subsp. praecipua,,,,removed,Egg And Bacon Peas,Pultenaea,Critically Endangered
Styphelia sp. Coolmunda (D.Halford Q1635),,,,removed,Maal,Styphelia,Endangered
Vincetoxicum forsteri,,,,removed,,Vincetoxicum forsteri,Endangered
Vincetoxicum rupicola,,,,removed,,Vincetoxicum rupicola,Endangered
Vincetoxicum woollsii,,,,removed,Cryptic Forest Twiner,Tylophora woollsii,Endangered
Zanda baudinii,,,,removed,Baudin's Black-cockatoo,Zanda baudinii,Endangered
Zanda latirostris,,,,removed,Short-billed Black-cockatoo,Zanda latirostris,Endangered
